draw_idx,number,momentum,gap,markov,pattern,algebraic,lag1,lag2,hmmState,resonance,hit_in_5
100,1,0.1364,0.0000,0.1782,0.2000,0,0,0,0.5000,0,1
100,2,-0.2548,1.0000,0.2727,0.2283,0,0,1,0.5000,0,0
100,3,-0.2490,1.0000,0.2171,0.2775,0,0,0,0.5000,0,1
100,4,0.0940,0.4786,0.2984,0.2239,0,0,1,0.5000,0,1
100,5,0.0940,0.0000,0.2846,0.2698,0,0,0,0.5000,0,1
100,6,0.4427,0.2237,0.1897,0.2778,0,0,0,0.5000,0,1
100,7,0.0650,0.2680,0.2374,0.3373,0,0,1,0.5000,0,1
100,8,-0.2181,0.6601,0.2389,0.2134,0,0,0,0.5000,0,1
100,9,-0.2915,0.8789,0.3179,0.3111,0,0,0,0.5000,0,1
100,10,0.0766,0.2609,0.2932,0.2258,0,0,0,0.5000,0,0
100,11,0.0380,0.5926,0.2418,0.2658,0,0,0,0.5000,0,0
100,12,0.4311,0.0000,0.2810,0.1333,0,0,1,0.5000,0,1
100,13,0.3906,0.0000,0.2606,0.3125,0,0,0,0.5000,0,0
100,14,0.0746,0.2588,0.2239,0.2500,0,0,0,0.5000,0,1
100,15,0.0862,0.2461,0.2109,0.2405,0,1,0,0.5000,0,1
100,16,0.1133,0.2198,0.2193,0.1029,0,0,0,0.5000,0,1
100,17,0.1017,0.0000,0.2689,0.2576,0,0,0,0.5000,1,0
100,18,-0.2664,1.0000,0.3696,0.2366,0,0,0,0.5000,0,0
100,19,0.0708,0.5273,0.3309,0.3134,0,0,0,0.5000,0,1
100,20,0.0187,0.6291,0.3190,0.3537,0,1,1,0.5000,0,1
100,21,0.0708,0.5357,0.2353,0.2436,0,0,0,0.5000,0,1
100,22,-0.2355,0.7118,0.2377,0.2052,0,0,0,0.5000,0,1
100,23,-0.2529,1.0000,0.2977,0.2817,0,0,0,0.5000,0,1
100,24,0.4292,0.2364,0.2358,0.2727,0,1,0,0.5000,0,0
100,25,-0.2645,0.8047,0.2482,0.2821,0,0,0,0.5000,1,1
100,26,-0.2625,1.0000,0.2647,0.2687,0,1,0,0.5000,0,1
100,27,-0.2548,1.0000,0.2727,0.2810,0,1,0,0.5000,0,0
100,28,0.1036,0.4609,0.1933,0.1867,0,0,0,0.5000,0,0
100,29,-0.2394,0.9628,0.2742,0.2294,0,0,0,0.5000,0,1
100,30,-0.2548,0.7782,0.3106,0.2579,0,0,0,0.5000,0,1
100,31,0.0766,0.2563,0.2256,0.3418,0,0,1,0.5000,0,1
100,32,-0.2683,1.0000,0.2662,0.2732,0,0,0,0.5000,0,0
100,33,0.0592,0.0000,0.2270,0.1974,0,0,1,0.5000,0,1
100,34,-0.2587,1.0000,0.2463,0.2353,0,0,1,0.5000,0,0
100,35,0.1268,0.2146,0.2056,0.1343,0,0,0,0.5000,0,1
100,36,-0.2703,1.0000,0.2714,0.2266,0,0,1,0.5000,0,1
100,37,0.1055,0.2285,0.2458,0.2500,0,0,0,0.5000,0,1
100,38,0.0882,0.2475,0.2441,0.3562,0,0,0,0.5000,0,1
100,39,0.0689,0.0000,0.3162,0.2754,0,1,1,0.5000,0,1
100,40,-0.2432,1.0000,0.2063,0.2385,0,0,1,0.5000,0,0
100,41,0.3887,0.2777,0.2361,0.3043,0,0,1,0.5000,0,0
100,42,0.0862,0.4980,0.2422,0.2609,0,0,0,0.5000,0,1
100,43,0.0997,0.0000,0.2583,0.2941,0,0,0,0.5000,0,1
100,44,-0.2413,0.7237,0.2720,0.2342,0,1,1,0.5000,0,1
